DATE	TRACK	PLAYER	DRIVER
02-19-2023	daytona 500	Greg	Kyle Larson
02-19-2023	daytona 500	Bob	Kyle Larson
02-26-2023	california	Greg	Ryan Blaney
02-26-2023	california	Bob	Joey Logano
03-05-2023	Las Vegas	Greg	Kyle Larson
03-05-2023	Las Vegas	Bob	Kyle Busch
03-12-2023	Phoenix	Greg	Ryan Blaney
03-12-2023	Phoenix	Bob	William Byron
03-19-2023	Atlanta	Greg	Kyle Busch
03-19-2023	Atlanta	Bob	Joey Logano
03-26-2023	Circuit of the Americas	Greg	Tyler Reddick
03-26-2023	Circuit of the Americas	Bob	Ross Chastain
04-02-2023	Richmond	Greg	Kyle Larson
04-02-2023	Richmond	Bob	Kevin Harvick
04-09-2023	Bristol	Greg	Kyle Larson
04-09-2023	Bristol	Bob	Tyler Reddick
04-16-2023	Martinsville	Greg	William Byron
04-16-2023	Martinsville	Bob	Tyler Reddick
04-23-2023	Talladega	Greg	Ryan Blaney
04-23-2023	Talladega	Bob	Aric Almirola
04-30-2023	Dover	Greg	Kyle Larson
04-30-2023	Dover	Bob	William Byron
05-07-2023	Kansas	Greg	William Byron
05-07-2023	Kansas	Bob	Martin Truex Jr.
05-14-2023	Darlington	Greg	Denny Hamlin
05-14-2023	Darlington	Bob	Kyle Larson
05-28-2023	Charlotte	Greg	Chase Elliott
05-28-2023	Charlotte	Bob	Kyle Busch
06-04-2023	World Wide Technology Raceway	Greg	Kevin Harvick
06-04-2023	World Wide Technology Raceway	Bob	Joey Logano
06-11-2023	Sonoma	Greg	Tyler Reddick
06-11-2023	Sonoma	Bob	AJ Allmendinger